# Please wait, building network...
# 0.075 # 0.124 # 0.075 
# 0.124 # 0.204 # 0.124 
# 0.075 # 0.124 # 0.075 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.002 # 0.010 # 0.029 # 0.057 # 0.071 # 0.057 # 0.029 # 0.010 # 0.002 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
Locale set to C.
Number of images with traffic signs within criterion = 24
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00006.ppm
''Image file name: /home/alberto/TIAGO/haar_competition/test_full/00260.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00023.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00006.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00003.ppm
image = 00003; scale_factor = 0.31250; x =  313; y = 313; confidence = 0.01; MISS
image = 00011; scale_factor = 0.76538; x =  481; y = 143; confidence = 0.43; MISS
image = 00011; scale_factor = 0.76538; x =  660; y = 115; confidence = 0.35; MISS
image = 00011; scale_factor = 0.76538; x =  773; y = 143; confidence = 0.46; MISS
image = 00011; scale_factor = 0.76538; x =  853; y = 106; confidence = 0.52; MISS
image = 00011; scale_factor = 0.76538; x = 1040; y = 132; confidence = 0.10; MISS
image = 00011; scale_factor = 0.76538; x = 1176; y = 110; confidence = 0.44; MISS
image = 00011; scale_factor = 0.76538; x = 1282; y =  67; confidence = 0.35; MISS
image = 00011; scale_factor = 0.76538; x =  127; y = 234; confidence = 0.40; MISS
image = 00011; scale_factor = 0.76538; x =  244; y = 261; confidence = 0.46; MISS
image = 00011; scale_factor = 0.76538; x =  405; y = 262; confidence = 0.23; MISS
image = 00011; scale_factor = 0.76538; x =  536; y = 253; confidence = 0.21; MISS
image = 00011; scale_factor = 0.76538; x =  637; y = 290; confidence = 0.58; MISS
image = 00011; scale_factor = 0.76538; x =  787; y = 278; confidence = 0.43; MISS
image = 00011; scale_factor = 0.76538; x =  973; y = 230; confidence = 0.31; MISS
image = 00011; scale_factor = 0.76538; x = 1066; y = 265; confidence = 0.41; MISS
image = 00011; scale_factor = 0.76538; x = 1194; y = 262; confidence = 0.42; MISS
image = 00011; scale_factor = 0.76538; x = 1295; y = 258; confidence = 0.03; MISS
image = 00011; scale_factor = 0.76538; x =  124; y = 402; confidence = 0.34; MISS
image = 00011; scale_factor = 0.76538; x =  244; y = 369; confidence = 0.46; MISS
image = 00011; scale_factor = 0.76538; x =  404; y = 413; confidence = 0.06; MISS
image = 00011; scale_factor = 0.76538; x =  513; y = 376; confidence = 0.23; MISS
image = 00011; scale_factor = 0.76538; x =  732; y = 432; confidence = 0.97; HIT;  T.S. Type =  1; Width =  50
image = 00011; scale_factor = 0.76538; x =  732; y = 427; confidence = 0.97; HIT;  T.S. Type =  1; Width =  50
image = 00011; scale_factor = 0.76538; x =  925; y = 385; confidence = 0.01; MISS
image = 00011; scale_factor = 0.76538; x = 1027; y = 372; confidence = 0.12; MISS
image = 00011; scale_factor = 0.76538; x = 1199; y = 376; confidence = 0.06; MISS
image = 00011; scale_factor = 0.76538; x = 1269; y = 413; confidence = 0.18; MISS
image = 00011; scale_factor = 0.76538; x =   99; y = 600; confidence = 0.39; MISS
image = 00011; scale_factor = 0.76538; x =  212; y = 609; confidence = 0.13; MISS
image = 00011; scale_factor = 0.76538; x =  382; y = 507; confidence = 0.27; MISS
image = 00011; scale_factor = 0.76538; x =  511; y = 481; confidence = 0.41; MISS
image = 00011; scale_factor = 0.76538; x =  734; y = 435; confidence = 0.97; HIT;  T.S. Type =  1; Width =  50
image = 00011; scale_factor = 0.76538; x =  731; y = 431; confidence = 0.95; HIT;  T.S. Type =  1; Width =  50
image = 00011; scale_factor = 0.76538; x =  879; y = 553; confidence = 0.28; MISS
image = 00011; scale_factor = 0.76538; x = 1047; y = 527; confidence = 0.18; MISS
image = 00011; scale_factor = 0.76538; x = 1183; y = 519; confidence = 0.33; MISS
image = 00011; scale_factor = 0.76538; x = 1325; y = 524; confidence = 0.38; MISS
image = 00011; scale_factor = 0.76538; x =  105; y = 593; confidence = 0.34; MISS
image = 00011; scale_factor = 0.76538; x =  290; y = 768; confidence = 0.10; MISS
image = 00011; scale_factor = 0.76538; x =  474; y = 595; confidence = 0.08; MISS
image = 00011; scale_factor = 0.76538; x =  502; y = 672; confidence = 0.37; MISS
image = 00011; scale_factor = 0.76538; x =  660; y = 655; confidence = 0.04; MISS
image = 00011; scale_factor = 0.76538; x =  786; y = 663; confidence = 0.01; MISS
image = 00011; scale_factor = 0.76538; x =  928; y = 644; confidence = 0.27; MISS
image = 00011; scale_factor = 0.76538; x = 1048; y = 655; confidence = 0.16; MISS
image = 00011; scale_factor = 0.76538; x = 1161; y = 638; confidence = 0.31; MISS
image = 00011; scale_factor = 0.76538; x = 1297; y = 655; confidence = 0.17; MISS
image = 00011; scale_factor = 0.76538; x =  143; y = 773; confidence = 0.49; MISS
image = 00011; scale_factor = 0.76538; x =  155; y = 738; confidence = 0.23; MISS
image = 00011; scale_factor = 0.76538; x =  283; y = 773; confidence = 0.16; MISS
image = 00011; scale_factor = 0.76538; x =  524; y = 786; confidence = 0.33; MISS
image = 00011; scale_factor = 0.76538; x =  642; y = 781; confidence = 0.31; MISS
image = 00011; scale_factor = 0.76538; x =  781; y = 790; confidence = 0.00; MISS
image = 00011; scale_factor = 0.76538; x =  872; y = 668; confidence = 0.19; MISS
image = 00011; scale_factor = 0.76538; x = 1056; y = 758; confidence = 0.38; MISS
image = 00011; scale_factor = 0.76538; x = 1179; y = 786; confidence = 0.01; MISS
image = 00011; scale_factor = 0.76538; x = 1314; y = 774; confidence = 0.01; MISS
image = 00011; scale_factor = 1.19782; x =   71; y =  90; confidence = 0.28; MISS
image = 00011; scale_factor = 1.19782; x =  196; y =  71; confidence = 0.42; MISS
image = 00011; scale_factor = 1.19782; x =  256; y =  73; confidence = 0.39; MISS
image = 00011; scale_factor = 1.19782; x =  338; y =  82; confidence = 0.19; MISS
image = 00011; scale_factor = 1.19782; x =  418; y =  82; confidence = 0.05; MISS
image = 00011; scale_factor = 1.19782; x =  500; y =  85; confidence = 0.30; MISS
image = 00011; scale_factor = 1.19782; x =  652; y =  62; confidence = 0.52; MISS
image = 00011; scale_factor = 1.19782; x =  674; y =  83; confidence = 0.56; MISS
image = 00011; scale_factor = 1.19782; x =  736; y =  56; confidence = 0.52; MISS
image = 00011; scale_factor = 1.19782; x =  832; y =  76; confidence = 0.45; MISS
image = 00011; scale_factor = 1.19782; x =  905; y =  83; confidence = 0.39; MISS
image = 00011; scale_factor = 1.19782; x =  991; y =  84; confidence = 0.44; MISS
image = 00011; scale_factor = 1.19782; x = 1084; y =  87; confidence = 0.08; MISS
image = 00011; scale_factor = 1.19782; x = 1124; y =  46; confidence = 0.52; MISS
image = 00011; scale_factor = 1.19782; x = 1246; y =  86; confidence = 0.28; MISS
image = 00011; scale_factor = 1.19782; x = 1334; y =  76; confidence = 0.13; MISS
image = 00011; scale_factor = 1.19782; x =   84; y = 162; confidence = 0.12; MISS
image = 00011; scale_factor = 1.19782; x =  166; y = 166; confidence = 0.17; MISS
image = 00011; scale_factor = 1.19782; x =  248; y = 149; confidence = 0.45; MISS
image = 00011; scale_factor = 1.19782; x =  330; y = 165; confidence = 0.22; MISS
image = 00011; scale_factor = 1.19782; x =  414; y = 173; confidence = 0.64; MISS
image = 00011; scale_factor = 1.19782; x =  498; y = 169; confidence = 0.03; MISS
image = 00011; scale_factor = 1.19782; x =  584; y = 164; confidence = 0.26; MISS
image = 00011; scale_factor = 1.19782; x =  658; y = 173; confidence = 0.38; MISS
image = 00011; scale_factor = 1.19782; x =  776; y = 164; confidence = 0.39; MISS
image = 00011; scale_factor = 1.19782; x =  850; y = 148; confidence = 0.60; MISS
image = 00011; scale_factor = 1.19782; x =  916; y = 144; confidence = 0.22; MISS
image = 00011; scale_factor = 1.19782; x = 1014; y = 146; confidence = 0.24; MISS
image = 00011; scale_factor = 1.19782; x = 1073; y = 227; confidence = 0.51; MISS
image = 00011; scale_factor = 1.19782; x = 1145; y = 176; confidence = 0.11; MISS
image = 00011; scale_factor = 1.19782; x = 1251; y = 171; confidence = 0.28; MISS
image = 00011; scale_factor = 1.19782; x = 1310; y = 182; confidence = 0.40; MISS
image = 00011; scale_factor = 1.19782; x =  147; y = 217; confidence = 0.47; MISS
image = 00011; scale_factor = 1.19782; x =  148; y = 215; confidence = 0.54; MISS
image = 00011; scale_factor = 1.19782; x =  254; y = 249; confidence = 0.40; MISS
image = 00011; scale_factor = 1.19782; x =  355; y = 270; confidence = 0.59; MISS
image = 00011; scale_factor = 1.19782; x =  427; y = 228; confidence = 0.34; MISS
image = 00011; scale_factor = 1.19782; x =  490; y = 249; confidence = 0.19; MISS
image = 00011; scale_factor = 1.19782; x =  560; y = 222; confidence = 0.48; MISS
image = 00011; scale_factor = 1.19782; x =  674; y = 249; confidence = 0.37; MISS
image = 00011; scale_factor = 1.19782; x =  774; y = 252; confidence = 0.19; MISS
image = 00011; scale_factor = 1.19782; x =  828; y = 250; confidence = 0.25; MISS
image = 00011; scale_factor = 1.19782; x =  886; y = 203; confidence = 0.24; MISS
image = 00011; scale_factor = 1.19782; x =  973; y = 260; confidence = 0.43; MISS
image = 00011; scale_factor = 1.19782; x = 1073; y = 229; confidence = 0.55; MISS
image = 00011; scale_factor = 1.19782; x = 1194; y = 242; confidence = 0.28; MISS
image = 00011; scale_factor = 1.19782; x = 1247; y = 248; confidence = 0.44; MISS
image = 00011; scale_factor = 1.19782; x = 1327; y = 232; confidence = 0.29; MISS
image = 00011; scale_factor = 1.19782; x =   93; y = 330; confidence = 0.14; MISS
image = 00011; scale_factor = 1.19782; x =  150; y = 335; confidence = 0.45; MISS
image = 00011; scale_factor = 1.19782; x =  240; y = 307; confidence = 0.42; MISS
image = 00011; scale_factor = 1.19782; x =  340; y = 330; confidence = 0.03; MISS
image = 00011; scale_factor = 1.19782; x =  436; y = 284; confidence = 0.49; MISS
image = 00011; scale_factor = 1.19782; x =  514; y = 324; confidence = 0.44; MISS
image = 00011; scale_factor = 1.19782; x =  555; y = 315; confidence = 0.52; MISS
image = 00011; scale_factor = 1.19782; x =  671; y = 299; confidence = 0.18; MISS
image = 00011; scale_factor = 1.19782; x =  737; y = 307; confidence = 0.50; MISS
image = 00011; scale_factor = 1.19782; x =  834; y = 328; confidence = 0.05; MISS
image = 00011; scale_factor = 1.19782; x =  922; y = 337; confidence = 0.28; MISS
image = 00011; scale_factor = 1.19782; x = 1043; y = 356; confidence = 0.30; MISS
image = 00011; scale_factor = 1.19782; x = 1074; y = 344; confidence = 0.42; MISS
image = 00011; scale_factor = 1.19782; x = 1150; y = 332; confidence = 0.33; MISS
image = 00011; scale_factor = 1.19782; x = 1221; y = 332; confidence = 0.42; MISS
image = 00011; scale_factor = 1.19782; x = 1306; y = 336; confidence = 0.10; MISS
image = 00011; scale_factor = 1.19782; x =   82; y = 412; confidence = 0.20; MISS
image = 00011; scale_factor = 1.19782; x =  176; y = 457; confidence = 0.19; MISS
image = 00011; scale_factor = 1.19782; x =  259; y = 415; confidence = 0.42; MISS
image = 00011; scale_factor = 1.19782; x =  330; y = 415; confidence = 0.29; MISS
image = 00011; scale_factor = 1.19782; x =  416; y = 417; confidence = 0.15; MISS
image = 00011; scale_factor = 1.19782; x =  495; y = 435; confidence = 0.05; MISS
image = 00011; scale_factor = 1.19782; x =  581; y = 424; confidence = 0.14; MISS
image = 00011; scale_factor = 1.19782; x =  662; y = 413; confidence = 0.06; MISS
image = 00011; scale_factor = 1.19782; x =  732; y = 409; confidence = 0.57; HIT;  T.S. Type =  1; Width =  50
image = 00011; scale_factor = 1.19782; x =  802; y = 411; confidence = 0.39; MISS
image = 00011; scale_factor = 1.19782; x =  937; y = 380; confidence = 0.46; MISS
image = 00011; scale_factor = 1.19782; x =  998; y = 412; confidence = 0.10; MISS
image = 00011; scale_factor = 1.19782; x = 1072; y = 342; confidence = 0.47; MISS
image = 00011; scale_factor = 1.19782; x = 1179; y = 423; confidence = 0.02; MISS
image = 00011; scale_factor = 1.19782; x = 1276; y = 405; confidence = 0.22; MISS
image = 00011; scale_factor = 1.19782; x = 1325; y = 437; confidence = 0.16; MISS
image = 00011; scale_factor = 1.19782; x =   95; y = 499; confidence = 0.23; MISS
image = 00011; scale_factor = 1.19782; x =  113; y = 451; confidence = 0.14; MISS
image = 00011; scale_factor = 1.19782; x =  264; y = 446; confidence = 0.31; MISS
image = 00011; scale_factor = 1.19782; x =  339; y = 512; confidence = 0.36; MISS
image = 00011; scale_factor = 1.19782; x =  422; y = 490; confidence = 0.01; MISS
image = 00011; scale_factor = 1.19782; x =  472; y = 486; confidence = 0.46; MISS
image = 00011; scale_factor = 1.19782; x =  506; y = 479; confidence = 0.08; MISS
image = 00011; scale_factor = 1.19782; x =  664; y = 498; confidence = 0.12; MISS
image = 00011; scale_factor = 1.19782; x =  710; y = 526; confidence = 0.26; MISS
image = 00011; scale_factor = 1.19782; x =  831; y = 493; confidence = 0.44; MISS
image = 00011; scale_factor = 1.19782; x =  910; y = 488; confidence = 0.47; MISS
image = 00011; scale_factor = 1.19782; x =  998; y = 502; confidence = 0.04; MISS
image = 00011; scale_factor = 1.19782; x = 1077; y = 498; confidence = 0.03; MISS
image = 00011; scale_factor = 1.19782; x = 1187; y = 498; confidence = 0.56; MISS
image = 00011; scale_factor = 1.19782; x = 1257; y = 488; confidence = 0.28; MISS
image = 00011; scale_factor = 1.19782; x = 1336; y = 551; confidence = 0.62; MISS
image = 00011; scale_factor = 1.19782; x =  105; y = 560; confidence = 0.44; MISS
image = 00011; scale_factor = 1.19782; x =  166; y = 576; confidence = 0.41; MISS
image = 00011; scale_factor = 1.19782; x =  212; y = 609; confidence = 0.44; MISS
image = 00011; scale_factor = 1.19782; x =  339; y = 513; confidence = 0.48; MISS
image = 00011; scale_factor = 1.19782; x =  445; y = 519; confidence = 0.10; MISS
image = 00011; scale_factor = 1.19782; x =  505; y = 576; confidence = 0.10; MISS
image = 00011; scale_factor = 1.19782; x =  627; y = 556; confidence = 0.36; MISS
image = 00011; scale_factor = 1.19782; x =  663; y = 568; confidence = 0.42; MISS
image = 00011; scale_factor = 1.19782; x =  748; y = 573; confidence = 0.31; MISS
image = 00011; scale_factor = 1.19782; x =  832; y = 579; confidence = 0.02; MISS
image = 00011; scale_factor = 1.19782; x =  913; y = 581; confidence = 0.25; MISS
image = 00011; scale_factor = 1.19782; x = 1004; y = 587; confidence = 0.37; MISS
image = 00011; scale_factor = 1.19782; x = 1073; y = 579; confidence = 0.19; MISS
image = 00011; scale_factor = 1.19782; x = 1158; y = 583; confidence = 0.04; MISS
image = 00011; scale_factor = 1.19782; x = 1285; y = 627; confidence = 0.41; MISS
image = 00011; scale_factor = 1.19782; x = 1275; y = 598; confidence = 0.39; MISS
image = 00011; scale_factor = 1.19782; x =   95; y = 676; confidence = 0.49; MISS
image = 00011; scale_factor = 1.19782; x =  197; y = 635; confidence = 0.33; MISS
image = 00011; scale_factor = 1.19782; x =  229; y = 712; confidence = 0.26; MISS
image = 00011; scale_factor = 1.19782; x =  333; y = 674; confidence = 0.19; MISS
image = 00011; scale_factor = 1.19782; x =  418; y = 664; confidence = 0.13; MISS
image = 00011; scale_factor = 1.19782; x =  499; y = 666; confidence = 0.41; MISS
image = 00011; scale_factor = 1.19782; x =  503; y = 662; confidence = 0.39; MISS
image = 00011; scale_factor = 1.19782; x =  664; y = 664; confidence = 0.11; MISS
image = 00011; scale_factor = 1.19782; x =  728; y = 637; confidence = 0.24; MISS
image = 00011; scale_factor = 1.19782; x =  824; y = 668; confidence = 0.22; MISS
image = 00011; scale_factor = 1.19782; x =  925; y = 665; confidence = 0.37; MISS
image = 00011; scale_factor = 1.19782; x = 1025; y = 650; confidence = 0.41; MISS
image = 00011; scale_factor = 1.19782; x = 1101; y = 664; confidence = 0.33; MISS
image = 00011; scale_factor = 1.19782; x = 1163; y = 666; confidence = 0.33; MISS
image = 00011; scale_factor = 1.19782; x = 1241; y = 665; confidence = 0.06; MISS
image = 00011; scale_factor = 1.19782; x = 1339; y = 652; confidence = 0.25; MISS
image = 00011; scale_factor = 1.19782; x =   82; y = 753; confidence = 0.09; MISS
image = 00011; scale_factor = 1.19782; x =  193; y = 749; confidence = 0.11; MISS
image = 00011; scale_factor = 1.19782; x =  286; y = 779; confidence = 0.33; MISS
image = 00011; scale_factor = 1.19782; x =  298; y = 769; confidence = 0.04; MISS
image = 00011; scale_factor = 1.19782; x =  417; y = 753; confidence = 0.10; MISS
image = 00011; scale_factor = 1.19782; x =  531; y = 738; confidence = 0.34; MISS
image = 00011; scale_factor = 1.19782; x =  577; y = 773; confidence = 0.52; MISS
image = 00011; scale_factor = 1.19782; x =  656; y = 770; confidence = 0.27; MISS
image = 00011; scale_factor = 1.19782; x =  764; y = 746; confidence = 0.13; MISS
image = 00011; scale_factor = 1.19782; x =  835; y = 747; confidence = 0.13; MISS
image = 00011; scale_factor = 1.19782; x =  943; y = 769; confidence = 0.11; MISS
image = 00011; scale_factor = 1.19782; x =  989; y = 779; confidence = 0.02; MISS
image = 00011; scale_factor = 1.19782; x = 1126; y = 705; confidence = 0.43; MISS
image = 00011; scale_factor = 1.19782; x = 1129; y = 705; confidence = 0.40; MISS
image = 00011; scale_factor = 1.19782; x = 1252; y = 759; confidence = 0.25; MISS
image = 00011; scale_factor = 1.19782; x = 1317; y = 755; confidence = 0.20; MISS
image = 00011; scale_factor = 1.87460; x =   53; y =  57; confidence = 0.27; MISS
image = 00011; scale_factor = 1.87460; x =  109; y =  50; confidence = 0.25; MISS
image = 00011; scale_factor = 1.87460; x =  173; y =  46; confidence = 0.22; MISS
image = 00011; scale_factor = 1.87460; x =  211; y =  51; confidence = 0.13; MISS
image = 00011; scale_factor = 1.87460; x =  274; y =  60; confidence = 0.45; MISS
image = 00011; scale_factor = 1.87460; x =  318; y =  53; confidence = 0.35; MISS
image = 00011; scale_factor = 1.87460; x =  362; y =  35; confidence = 0.45; MISS
image = 00011; scale_factor = 1.87460; x =  388; y =  49; confidence = 0.39; MISS
image = 00011; scale_factor = 1.87460; x =  481; y =  41; confidence = 0.25; MISS
image = 00011; scale_factor = 1.87460; x =  506; y =  35; confidence = 0.42; MISS
image = 00011; scale_factor = 1.87460; x =  582; y =  52; confidence = 0.34; MISS
image = 00011; scale_factor = 1.87460; x =  637; y =  55; confidence = 0.14; MISS
image = 00011; scale_factor = 1.87460; x =  693; y =  46; confidence = 0.34; MISS
image = 00011; scale_factor = 1.87460; x =  750; y =  25; confidence = 0.44; MISS
image = 00011; scale_factor = 1.87460; x =  786; y =  71; confidence = 0.35; MISS
image = 00011; scale_factor = 1.87460; x =  871; y =  53; confidence = 0.52; MISS
image = 00011; scale_factor = 1.87460; x =  873; y =  53; confidence = 0.46; MISS
image = 00011; scale_factor = 1.87460; x =  967; y =  49; confidence = 0.45; MISS
image = 00011; scale_factor = 1.87460; x = 1007; y =  55; confidence = 0.07; MISS
image = 00011; scale_factor = 1.87460; x = 1064; y =  53; confidence = 0.19; MISS
image = 00011; scale_factor = 1.87460; x = 1115; y =  52; confidence = 0.36; MISS
image = 00011; scale_factor = 1.87460; x = 1175; y =  47; confidence = 0.25; MISS
image = 00011; scale_factor = 1.87460; x = 1198; y =  39; confidence = 0.41; MISS
image = 00011; scale_factor = 1.87460; x = 1274; y =  49; confidence = 0.44; MISS
image = 00011; scale_factor = 1.87460; x = 1320; y =  43; confidence = 0.44; MISS
image = 00011; scale_factor = 1.87460; x =   53; y = 104; confidence = 0.24; MISS
image = 00011; scale_factor = 1.87460; x =  118; y = 147; confidence = 0.50; MISS
image = 00011; scale_factor = 1.87460; x =  156; y = 106; confidence = 0.03; MISS
image = 00011; scale_factor = 1.87460; x =  208; y = 102; confidence = 0.07; MISS
image = 00011; scale_factor = 1.87460; x =  268; y = 106; confidence = 0.06; MISS
image = 00011; scale_factor = 1.87460; x =  312; y =  96; confidence = 0.17; MISS
image = 00011; scale_factor = 1.87460; x =  387; y =  99; confidence = 0.38; MISS
image = 00011; scale_factor = 1.87460; x =  423; y = 106; confidence = 0.10; MISS
image = 00011; scale_factor = 1.87460; x =  493; y =  95; confidence = 0.46; MISS
image = 00011; scale_factor = 1.87460; x =  530; y = 110; confidence = 0.14; MISS
image = 00011; scale_factor = 1.87460; x =  588; y = 112; confidence = 0.25; MISS
image = 00011; scale_factor = 1.87460; x =  634; y = 112; confidence = 0.53; MISS
image = 00011; scale_factor = 1.87460; x =  693; y = 114; confidence = 0.44; MISS
image = 00011; scale_factor = 1.87460; x =  758; y = 102; confidence = 0.44; MISS
image = 00011; scale_factor = 1.87460; x =  818; y = 113; confidence = 0.58; MISS
image = 00011; scale_factor = 1.87460; x =  843; y = 109; confidence = 0.55; MISS
image = 00011; scale_factor = 1.87460; x =  894; y = 114; confidence = 0.39; MISS
image = 00011; scale_factor = 1.87460; x =  959; y =  93; confidence = 0.36; MISS
image = 00011; scale_factor = 1.87460; x =  993; y =  88; confidence = 0.36; MISS
image = 00011; scale_factor = 1.87460; x = 1060; y = 106; confidence = 0.19; MISS
image = 00011; scale_factor = 1.87460; x = 1111; y = 105; confidence = 0.40; MISS
image = 00011; scale_factor = 1.87460; x = 1166; y = 109; confidence = 0.20; MISS
image = 00011; scale_factor = 1.87460; x = 1207; y = 108; confidence = 0.28; MISS
image = 00011; scale_factor = 1.87460; x = 1286; y =  92; confidence = 0.47; MISS
image = 00011; scale_factor = 1.87460; x = 1327; y = 110; confidence = 0.54; MISS
image = 00011; scale_factor = 1.87460; x =   46; y = 150; confidence = 0.42; MISS
image = 00011; scale_factor = 1.87460; x =  110; y = 150; confidence = 0.50; MISS
image = 00011; scale_factor = 1.87460; x =  165; y = 166; confidence = 0.37; MISS
image = 00011; scale_factor = 1.87460; x =  220; y = 142; confidence = 0.48; MISS
image = 00011; scale_factor = 1.87460; x =  277; y = 163; confidence = 0.47; MISS
image = 00011; scale_factor = 1.87460; x =  323; y = 152; confidence = 0.30; MISS
image = 00011; scale_factor = 1.87460; x =  373; y = 173; confidence = 0.16; MISS
image = 00011; scale_factor = 1.87460; x =  426; y = 159; confidence = 0.02; MISS
image = 00011; scale_factor = 1.87460; x =  477; y = 159; confidence = 0.08; MISS
image = 00011; scale_factor = 1.87460; x =  535; y = 160; confidence = 0.23; MISS
image = 00011; scale_factor = 1.87460; x =  580; y = 182; confidence = 0.32; MISS
image = 00011; scale_factor = 1.87460; x =  642; y = 154; confidence = 0.33; MISS
image = 00011; scale_factor = 1.87460; x =  687; y = 181; confidence = 0.47; MISS
image = 00011; scale_factor = 1.87460; x =  723; y = 141; confidence = 0.57; MISS
image = 00011; scale_factor = 1.87460; x =  795; y = 162; confidence = 0.65; MISS
image = 00011; scale_factor = 1.87460; x =  859; y = 159; confidence = 0.52; MISS
image = 00011; scale_factor = 1.87460; x =  916; y = 159; confidence = 0.46; MISS
image = 00011; scale_factor = 1.87460; x =  954; y = 159; confidence = 0.46; MISS
image = 00011; scale_factor = 1.87460; x = 1009; y = 159; confidence = 0.45; MISS
image = 00011; scale_factor = 1.87460; x = 1055; y = 131; confidence = 0.68; MISS
image = 00011; scale_factor = 1.87460; x = 1121; y = 150; confidence = 0.31; MISS
image = 00011; scale_factor = 1.87460; x = 1167; y = 161; confidence = 0.35; MISS
image = 00011; scale_factor = 1.87460; x = 1218; y = 163; confidence = 0.39; MISS
image = 00011; scale_factor = 1.87460; x = 1256; y = 168; confidence = 0.44; MISS
image = 00011; scale_factor = 1.87460; x = 1309; y = 167; confidence = 0.27; MISS
image = 00011; scale_factor = 1.87460; x =   51; y = 218; confidence = 0.40; MISS
image = 00011; scale_factor = 1.87460; x =  117; y = 205; confidence = 0.09; MISS
image = 00011; scale_factor = 1.87460; x =  173; y = 190; confidence = 0.55; MISS
image = 00011; scale_factor = 1.87460; x =  172; y = 192; confidence = 0.50; MISS
image = 00011; scale_factor = 1.87460; x =  289; y = 202; confidence = 0.44; MISS
image = 00011; scale_factor = 1.87460; x =  302; y = 256; confidence = 0.65; MISS
image = 00011; scale_factor = 1.87460; x =  367; y = 212; confidence = 0.25; MISS
image = 00011; scale_factor = 1.87460; x =  424; y = 212; confidence = 0.21; MISS
image = 00011; scale_factor = 1.87460; x =  480; y = 212; confidence = 0.06; MISS
image = 00011; scale_factor = 1.87460; x =  526; y = 221; confidence = 0.21; MISS
image = 00011; scale_factor = 1.87460; x =  580; y = 210; confidence = 0.09; MISS
image = 00011; scale_factor = 1.87460; x =  638; y = 211; confidence = 0.27; MISS
image = 00011; scale_factor = 1.87460; x =  694; y = 211; confidence = 0.32; MISS
image = 00011; scale_factor = 1.87460; x =  769; y = 208; confidence = 0.03; MISS
image = 00011; scale_factor = 1.87460; x =  804; y = 168; confidence = 0.73; MISS
image = 00011; scale_factor = 1.87460; x =  829; y = 166; confidence = 0.69; MISS
image = 00011; scale_factor = 1.87460; x =  908; y = 206; confidence = 0.36; MISS
image = 00011; scale_factor = 1.87460; x =  952; y = 208; confidence = 0.43; MISS
image = 00011; scale_factor = 1.87460; x = 1007; y = 210; confidence = 0.16; MISS
image = 00011; scale_factor = 1.87460; x = 1068; y = 211; confidence = 0.34; MISS
image = 00011; scale_factor = 1.87460; x = 1117; y = 222; confidence = 0.28; MISS
image = 00011; scale_factor = 1.87460; x = 1163; y = 208; confidence = 0.12; MISS
image = 00011; scale_factor = 1.87460; x = 1214; y = 220; confidence = 0.38; MISS
image = 00011; scale_factor = 1.87460; x = 1272; y = 212; confidence = 0.28; MISS
image = 00011; scale_factor = 1.87460; x = 1325; y = 207; confidence = 0.03; MISS
image = 00011; scale_factor = 1.87460; x =   56; y = 268; confidence = 0.07; MISS
image = 00011; scale_factor = 1.87460; x =  116; y = 244; confidence = 0.23; MISS
image = 00011; scale_factor = 1.87460; x =  152; y = 266; confidence = 0.16; MISS
image = 00011; scale_factor = 1.87460; x =  210; y = 265; confidence = 0.04; MISS
image = 00011; scale_factor = 1.87460; x =  303; y = 257; confidence = 0.66; MISS
image = 00011; scale_factor = 1.87460; x =  305; y = 258; confidence = 0.59; MISS
image = 00011; scale_factor = 1.87460; x =  383; y = 267; confidence = 0.37; MISS
image = 00011; scale_factor = 1.87460; x =  455; y = 240; confidence = 0.51; MISS
image = 00011; scale_factor = 1.87460; x =  485; y = 258; confidence = 0.21; MISS
image = 00011; scale_factor = 1.87460; x =  549; y = 233; confidence = 0.52; MISS
image = 00011; scale_factor = 1.87460; x =  547; y = 238; confidence = 0.16; MISS
image = 00011; scale_factor = 1.87460; x =  673; y = 249; confidence = 0.43; MISS
image = 00011; scale_factor = 1.87460; x =  672; y = 249; confidence = 0.51; MISS
image = 00011; scale_factor = 1.87460; x =  732; y = 287; confidence = 0.42; MISS
image = 00011; scale_factor = 1.87460; x =  778; y = 252; confidence = 0.30; MISS
image = 00011; scale_factor = 1.87460; x =  842; y = 265; confidence = 0.24; MISS
