# Please wait, building network...
# 0.075 # 0.124 # 0.075 
# 0.124 # 0.204 # 0.124 
# 0.075 # 0.124 # 0.075 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.002 # 0.010 # 0.029 # 0.057 # 0.071 # 0.057 # 0.029 # 0.010 # 0.002 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
Locale set to C.
Number of images with traffic signs within criterion = 57
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00018.ppm
''Image file name: /home/alberto/TIAGO/haar_competition/test_full/00018.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00056.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00071.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00085.ppm
delta = 89
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00089.ppm
scale_factor = 1.12; image = 00093; x =   95; y =  71; confidence = 0.57; MISS
scale_factor = 1.12; image = 00131; x =  178; y =  89; confidence = 0.35; MISS
scale_factor = 1.12; image = 00131; x =  254; y =  89; confidence = 0.55; MISS
scale_factor = 1.12; image = 00131; x =  376; y =  69; confidence = 0.47; MISS
scale_factor = 1.12; image = 00131; x =  459; y =  78; confidence = 0.38; MISS
scale_factor = 1.12; image = 00131; x =  510; y =  58; confidence = 0.51; MISS
scale_factor = 1.12; image = 00131; x =  620; y =  99; confidence = 0.01; MISS
scale_factor = 1.12; image = 00131; x =  705; y =  58; confidence = 0.21; MISS
scale_factor = 1.12; image = 00131; x =  797; y =  99; confidence = 0.21; MISS
scale_factor = 1.12; image = 00131; x =  902; y =  96; confidence = 0.39; MISS
scale_factor = 1.12; image = 00131; x =  999; y =  76; confidence = 0.39; MISS
scale_factor = 1.12; image = 00131; x = 1117; y = 129; confidence = 0.52; MISS
scale_factor = 1.12; image = 00131; x = 1144; y =  64; confidence = 0.57; MISS
scale_factor = 1.12; image = 00131; x = 1263; y =  69; confidence = 0.46; MISS
scale_factor = 1.12; image = 00131; x = 1315; y =  65; confidence = 0.48; MISS
scale_factor = 1.12; image = 00131; x =   94; y = 175; confidence = 0.47; MISS
scale_factor = 1.12; image = 00131; x =  225; y = 152; confidence = 0.70; MISS
scale_factor = 1.12; image = 00131; x =  282; y = 148; confidence = 0.74; MISS
scale_factor = 1.12; image = 00131; x =  356; y = 178; confidence = 0.42; MISS
scale_factor = 1.12; image = 00131; x =  409; y = 195; confidence = 0.56; MISS
scale_factor = 1.12; image = 00131; x =  507; y = 260; confidence = 0.38; MISS
scale_factor = 1.12; image = 00131; x =  623; y = 178; confidence = 0.10; MISS
scale_factor = 1.12; image = 00131; x =  720; y = 187; confidence = 0.17; MISS
scale_factor = 1.12; image = 00131; x =  800; y = 182; confidence = 0.18; MISS
scale_factor = 1.12; image = 00131; x =  899; y = 181; confidence = 0.27; MISS
scale_factor = 1.12; image = 00131; x =  975; y = 158; confidence = 0.22; MISS
scale_factor = 1.12; image = 00131; x = 1073; y = 192; confidence = 0.42; MISS
scale_factor = 1.12; image = 00131; x = 1115; y = 130; confidence = 0.55; MISS
scale_factor = 1.12; image = 00131; x = 1234; y = 178; confidence = 0.40; MISS
scale_factor = 1.12; image = 00131; x = 1300; y = 205; confidence = 0.44; MISS
scale_factor = 1.12; image = 00131; x =   64; y = 235; confidence = 0.32; MISS
scale_factor = 1.12; image = 00131; x =  175; y = 267; confidence = 0.16; MISS
scale_factor = 1.12; image = 00131; x =  302; y = 291; confidence = 0.26; MISS
scale_factor = 1.12; image = 00131; x =  369; y = 239; confidence = 0.27; MISS
scale_factor = 1.12; image = 00131; x =  455; y = 253; confidence = 0.65; MISS
scale_factor = 1.12; image = 00131; x =  521; y = 268; confidence = 0.48; MISS
scale_factor = 1.12; image = 00131; x =  634; y = 272; confidence = 0.27; MISS
scale_factor = 1.12; image = 00131; x =  745; y = 284; confidence = 0.06; MISS
scale_factor = 1.12; image = 00131; x =  792; y = 271; confidence = 0.47; MISS
scale_factor = 1.12; image = 00131; x =  894; y = 267; confidence = 0.01; MISS
scale_factor = 1.12; image = 00131; x = 1054; y = 252; confidence = 0.47; MISS
scale_factor = 1.12; image = 00131; x = 1053; y = 254; confidence = 0.55; MISS
scale_factor = 1.12; image = 00131; x = 1145; y = 267; confidence = 0.40; MISS
scale_factor = 1.12; image = 00131; x = 1250; y = 247; confidence = 0.34; MISS
scale_factor = 1.12; image = 00131; x = 1323; y = 273; confidence = 0.22; MISS
scale_factor = 1.12; image = 00131; x =  119; y = 381; confidence = 0.53; MISS
scale_factor = 1.12; image = 00131; x =  217; y = 332; confidence = 0.54; MISS
scale_factor = 1.12; image = 00131; x =  265; y = 354; confidence = 0.21; MISS
scale_factor = 1.12; image = 00126; x =  389; y = 417; confidence = 0.98; HIT ***
scale_factor = 1.12; image = 00126; x =  397; y = 418; confidence = 1.00; HIT ***
scale_factor = 1.12; image = 00131; x =  508; y = 288; confidence = 0.49; MISS
scale_factor = 1.12; image = 00131; x =  621; y = 352; confidence = 0.33; MISS
scale_factor = 1.12; image = 00131; x =  743; y = 428; confidence = 0.44; MISS
scale_factor = 1.12; image = 00126; x =  851; y = 405; confidence = 0.88; HIT ***
scale_factor = 1.12; image = 00126; x =  852; y = 416; confidence = 0.81; HIT ***
scale_factor = 1.12; image = 00131; x =  973; y = 365; confidence = 0.20; MISS
scale_factor = 1.12; image = 00131; x = 1072; y = 355; confidence = 0.00; MISS
scale_factor = 1.12; image = 00131; x = 1160; y = 351; confidence = 0.08; MISS
scale_factor = 1.12; image = 00131; x = 1243; y = 353; confidence = 0.00; MISS
scale_factor = 1.12; image = 00131; x = 1324; y = 352; confidence = 0.39; MISS
scale_factor = 1.12; image = 00131; x =   78; y = 415; confidence = 0.27; MISS
scale_factor = 1.12; image = 00131; x =  177; y = 437; confidence = 0.31; MISS
scale_factor = 1.12; image = 00131; x =  279; y = 505; confidence = 0.22; MISS
scale_factor = 1.12; image = 00126; x =  399; y = 419; confidence = 0.99; HIT ***
scale_factor = 1.12; image = 00126; x =  402; y = 421; confidence = 0.94; HIT ***
scale_factor = 1.12; image = 00131; x =  510; y = 437; confidence = 0.33; MISS
scale_factor = 1.12; image = 00131; x =  620; y = 446; confidence = 0.13; MISS
scale_factor = 1.12; image = 00131; x =  745; y = 429; confidence = 0.42; MISS
scale_factor = 1.12; image = 00126; x =  853; y = 407; confidence = 0.90; HIT ***
scale_factor = 1.12; image = 00126; x =  855; y = 411; confidence = 0.83; HIT ***
scale_factor = 1.12; image = 00131; x =  918; y = 450; confidence = 0.49; MISS
scale_factor = 1.12; image = 00131; x = 1058; y = 443; confidence = 0.30; MISS
scale_factor = 1.12; image = 00131; x = 1161; y = 422; confidence = 0.49; MISS
scale_factor = 1.12; image = 00131; x = 1187; y = 427; confidence = 0.66; MISS
scale_factor = 1.12; image = 00131; x = 1327; y = 463; confidence = 0.45; MISS
scale_factor = 1.12; image = 00131; x =   86; y = 534; confidence = 0.06; MISS
scale_factor = 1.12; image = 00131; x =  171; y = 514; confidence = 0.40; MISS
scale_factor = 1.12; image = 00131; x =  285; y = 542; confidence = 0.32; MISS
scale_factor = 1.12; image = 00131; x =  360; y = 530; confidence = 0.25; MISS
scale_factor = 1.12; image = 00131; x =  426; y = 546; confidence = 0.39; MISS
scale_factor = 1.12; image = 00131; x =  583; y = 546; confidence = 0.09; MISS
scale_factor = 1.12; image = 00131; x =  627; y = 532; confidence = 0.14; MISS
scale_factor = 1.12; image = 00131; x =  712; y = 534; confidence = 0.34; MISS
scale_factor = 1.12; image = 00131; x =  807; y = 541; confidence = 0.32; MISS
scale_factor = 1.12; image = 00131; x =  889; y = 522; confidence = 0.45; MISS
scale_factor = 1.12; image = 00131; x =  977; y = 547; confidence = 0.35; MISS
scale_factor = 1.12; image = 00131; x = 1067; y = 527; confidence = 0.16; MISS
scale_factor = 1.12; image = 00131; x = 1152; y = 562; confidence = 0.32; MISS
scale_factor = 1.12; image = 00131; x = 1250; y = 534; confidence = 0.39; MISS
scale_factor = 1.12; image = 00131; x = 1325; y = 553; confidence = 0.35; MISS
scale_factor = 1.12; image = 00131; x =   42; y = 609; confidence = 0.33; MISS
scale_factor = 1.12; image = 00131; x =  187; y = 566; confidence = 0.17; MISS
scale_factor = 1.12; image = 00131; x =  295; y = 697; confidence = 0.45; MISS
scale_factor = 1.12; image = 00131; x =  313; y = 689; confidence = 0.16; MISS
scale_factor = 1.12; image = 00131; x =  390; y = 569; confidence = 0.24; MISS
scale_factor = 1.12; image = 00131; x =  516; y = 592; confidence = 0.07; MISS
scale_factor = 1.12; image = 00131; x =  632; y = 613; confidence = 0.43; MISS
scale_factor = 1.12; image = 00131; x =  633; y = 610; confidence = 0.19; MISS
scale_factor = 1.12; image = 00131; x =  831; y = 655; confidence = 0.55; MISS
scale_factor = 1.12; image = 00131; x =  889; y = 619; confidence = 0.34; MISS
scale_factor = 1.12; image = 00131; x =  966; y = 600; confidence = 0.47; MISS
scale_factor = 1.12; image = 00131; x = 1079; y = 605; confidence = 0.44; MISS
scale_factor = 1.12; image = 00131; x = 1144; y = 608; confidence = 0.47; MISS
scale_factor = 1.12; image = 00131; x = 1247; y = 629; confidence = 0.37; MISS
scale_factor = 1.12; image = 00131; x = 1341; y = 621; confidence = 0.21; MISS
scale_factor = 1.12; image = 00131; x =  104; y = 713; confidence = 0.35; MISS
scale_factor = 1.12; image = 00131; x =  143; y = 744; confidence = 0.50; MISS
scale_factor = 1.12; image = 00131; x =  262; y = 716; confidence = 0.67; MISS
scale_factor = 1.12; image = 00131; x =  296; y = 766; confidence = 0.69; MISS
scale_factor = 1.12; image = 00131; x =  411; y = 634; confidence = 0.03; MISS
scale_factor = 1.12; image = 00131; x =  533; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00131; x =  622; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00131; x =  769; y = 700; confidence = 0.35; MISS
scale_factor = 1.12; image = 00131; x =  832; y = 656; confidence = 0.61; MISS
scale_factor = 1.12; image = 00131; x =  941; y = 694; confidence = 0.57; MISS
scale_factor = 1.12; image = 00131; x =  969; y = 698; confidence = 0.49; MISS
scale_factor = 1.12; image = 00131; x = 1063; y = 716; confidence = 0.57; MISS
scale_factor = 1.12; image = 00131; x = 1171; y = 748; confidence = 0.65; MISS
scale_factor = 1.12; image = 00131; x = 1241; y = 717; confidence = 0.53; MISS
scale_factor = 1.12; image = 00131; x = 1292; y = 722; confidence = 0.56; MISS
### Current Image = 00126; Traffic signs searched =    9; Traffic signs found =    9; Best confidence = 0.903389; Percentage found = 100.00; HIT
### Current Image = 00126; Traffic signs searched =   10; Traffic signs found =   10; Best confidence = 1.000000; Percentage found = 100.00; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00130.ppm
scale_factor = 1.12; image = 00135; x =   71; y = 100; confidence = 0.52; MISS
scale_factor = 1.12; image = 00135; x =  149; y = 134; confidence = 0.67; MISS
scale_factor = 1.12; image = 00135; x =  287; y = 101; confidence = 0.49; MISS
scale_factor = 1.12; image = 00135; x =  382; y = 110; confidence = 0.44; MISS
scale_factor = 1.12; image = 00135; x =  440; y =  79; confidence = 0.51; MISS
scale_factor = 1.12; image = 00135; x =  534; y =  89; confidence = 0.24; MISS
scale_factor = 1.12; image = 00135; x =  641; y = 104; confidence = 0.34; MISS
scale_factor = 1.12; image = 00135; x =  742; y = 116; confidence = 0.36; MISS
scale_factor = 1.12; image = 00135; x =  815; y = 133; confidence = 0.47; MISS
scale_factor = 1.12; image = 00135; x =  877; y =  98; confidence = 0.42; MISS
scale_factor = 1.12; image = 00135; x =  963; y =  89; confidence = 0.44; MISS
scale_factor = 1.12; image = 00135; x = 1042; y =  68; confidence = 0.47; MISS
scale_factor = 1.12; image = 00135; x = 1138; y =  63; confidence = 0.50; MISS
scale_factor = 1.12; image = 00135; x = 1228; y =  83; confidence = 0.22; MISS
scale_factor = 1.12; image = 00135; x = 1317; y =  89; confidence = 0.32; MISS
scale_factor = 1.12; image = 00135; x =   75; y = 178; confidence = 0.26; MISS
scale_factor = 1.12; image = 00135; x =  191; y = 152; confidence = 0.64; MISS
scale_factor = 1.12; image = 00135; x =  259; y = 182; confidence = 0.42; MISS
scale_factor = 1.12; image = 00135; x =  363; y = 188; confidence = 0.56; MISS
scale_factor = 1.12; image = 00135; x =  438; y = 164; confidence = 0.33; MISS
scale_factor = 1.12; image = 00135; x =  507; y = 249; confidence = 0.49; MISS
scale_factor = 1.12; image = 00135; x =  628; y = 198; confidence = 0.23; MISS
scale_factor = 1.12; image = 00135; x =  738; y = 185; confidence = 0.26; MISS
scale_factor = 1.12; image = 00135; x =  778; y = 201; confidence = 0.34; MISS
scale_factor = 1.12; image = 00135; x =  907; y = 178; confidence = 0.33; MISS
scale_factor = 1.12; image = 00135; x =  971; y = 176; confidence = 0.43; MISS
scale_factor = 1.12; image = 00135; x = 1065; y = 178; confidence = 0.39; MISS
scale_factor = 1.12; image = 00135; x = 1149; y = 214; confidence = 0.43; MISS
scale_factor = 1.12; image = 00135; x = 1272; y = 175; confidence = 0.48; MISS
scale_factor = 1.12; image = 00135; x = 1331; y = 184; confidence = 0.34; MISS
scale_factor = 1.12; image = 00135; x =   45; y = 242; confidence = 0.41; MISS
scale_factor = 1.12; image = 00135; x =  177; y = 269; confidence = 0.15; MISS
scale_factor = 1.12; image = 00135; x =  290; y = 305; confidence = 0.48; MISS
scale_factor = 1.12; image = 00135; x =  397; y = 257; confidence = 0.51; MISS
scale_factor = 1.12; image = 00135; x =  399; y = 257; confidence = 0.54; MISS
scale_factor = 1.12; image = 00135; x =  514; y = 283; confidence = 0.52; MISS
scale_factor = 1.12; image = 00135; x =  635; y = 263; confidence = 0.31; MISS
scale_factor = 1.12; image = 00135; x =  710; y = 268; confidence = 0.03; MISS
scale_factor = 1.12; image = 00135; x =  797; y = 293; confidence = 0.41; MISS
scale_factor = 1.12; image = 00135; x =  894; y = 263; confidence = 0.22; MISS
scale_factor = 1.12; image = 00135; x = 1007; y = 302; confidence = 0.39; MISS
scale_factor = 1.12; image = 00135; x = 1007; y = 303; confidence = 0.50; MISS
scale_factor = 1.12; image = 00135; x = 1152; y = 278; confidence = 0.14; MISS
scale_factor = 1.12; image = 00135; x = 1246; y = 279; confidence = 0.38; MISS
scale_factor = 1.12; image = 00135; x = 1302; y = 254; confidence = 0.06; MISS
scale_factor = 1.12; image = 00135; x =   91; y = 360; confidence = 0.02; MISS
scale_factor = 1.12; image = 00130; x =  222; y = 364; confidence = 0.90; HIT ***
scale_factor = 1.12; image = 00130; x =  222; y = 362; confidence = 0.94; HIT ***
scale_factor = 1.12; image = 00130; x =  338; y = 346; confidence = 0.24; HIT ***
scale_factor = 1.12; image = 00135; x =  457; y = 357; confidence = 0.21; MISS
scale_factor = 1.12; image = 00130; x =  613; y = 353; confidence = 0.88; HIT ***
scale_factor = 1.12; image = 00130; x =  618; y = 356; confidence = 0.82; HIT ***
scale_factor = 1.12; image = 00135; x =  722; y = 344; confidence = 0.48; MISS
scale_factor = 1.12; image = 00135; x =  798; y = 377; confidence = 0.27; MISS
scale_factor = 1.12; image = 00135; x =  830; y = 369; confidence = 0.24; MISS
scale_factor = 1.12; image = 00135; x = 1006; y = 356; confidence = 0.45; MISS
scale_factor = 1.12; image = 00135; x = 1088; y = 356; confidence = 0.30; MISS
scale_factor = 1.12; image = 00135; x = 1169; y = 358; confidence = 0.19; MISS
scale_factor = 1.12; image = 00135; x = 1221; y = 379; confidence = 0.07; MISS
scale_factor = 1.12; image = 00135; x = 1280; y = 350; confidence = 0.37; MISS
scale_factor = 1.12; image = 00135; x =   62; y = 442; confidence = 0.28; MISS
scale_factor = 1.12; image = 00135; x =  206; y = 412; confidence = 0.50; MISS
scale_factor = 1.12; image = 00135; x =  257; y = 403; confidence = 0.39; MISS
scale_factor = 1.12; image = 00135; x =  349; y = 448; confidence = 0.03; MISS
scale_factor = 1.12; image = 00135; x =  510; y = 445; confidence = 0.50; MISS
scale_factor = 1.12; image = 00135; x =  508; y = 445; confidence = 0.50; MISS
scale_factor = 1.12; image = 00135; x =  638; y = 435; confidence = 0.35; MISS
scale_factor = 1.12; image = 00135; x =  690; y = 393; confidence = 0.42; MISS
scale_factor = 1.12; image = 00135; x =  802; y = 453; confidence = 0.01; MISS
scale_factor = 1.12; image = 00135; x =  915; y = 429; confidence = 0.38; MISS
scale_factor = 1.12; image = 00135; x =  987; y = 462; confidence = 0.30; MISS
scale_factor = 1.12; image = 00135; x = 1110; y = 452; confidence = 0.51; MISS
scale_factor = 1.12; image = 00135; x = 1161; y = 448; confidence = 0.39; MISS
scale_factor = 1.12; image = 00135; x = 1270; y = 449; confidence = 0.18; MISS
scale_factor = 1.12; image = 00135; x = 1346; y = 444; confidence = 0.17; MISS
scale_factor = 1.12; image = 00135; x =   64; y = 530; confidence = 0.38; MISS
scale_factor = 1.12; image = 00135; x =  166; y = 536; confidence = 0.48; MISS
scale_factor = 1.12; image = 00135; x =  284; y = 604; confidence = 0.60; MISS
scale_factor = 1.12; image = 00135; x =  366; y = 559; confidence = 0.23; MISS
scale_factor = 1.12; image = 00135; x =  446; y = 534; confidence = 0.47; MISS
scale_factor = 1.12; image = 00135; x =  457; y = 541; confidence = 0.34; MISS
scale_factor = 1.12; image = 00135; x =  694; y = 490; confidence = 0.20; MISS
scale_factor = 1.12; image = 00135; x =  711; y = 516; confidence = 0.38; MISS
scale_factor = 1.12; image = 00135; x =  785; y = 578; confidence = 0.45; MISS
scale_factor = 1.12; image = 00135; x =  894; y = 570; confidence = 0.51; MISS
scale_factor = 1.12; image = 00135; x =  927; y = 495; confidence = 0.52; MISS
scale_factor = 1.12; image = 00135; x = 1031; y = 547; confidence = 0.13; MISS
scale_factor = 1.12; image = 00135; x = 1201; y = 534; confidence = 0.51; MISS
scale_factor = 1.12; image = 00135; x = 1236; y = 532; confidence = 0.33; MISS
scale_factor = 1.12; image = 00135; x = 1323; y = 534; confidence = 0.51; MISS
scale_factor = 1.12; image = 00135; x =  109; y = 584; confidence = 0.42; MISS
scale_factor = 1.12; image = 00135; x =  190; y = 652; confidence = 0.47; MISS
scale_factor = 1.12; image = 00135; x =  285; y = 607; confidence = 0.63; MISS
scale_factor = 1.12; image = 00135; x =  285; y = 605; confidence = 0.58; MISS
scale_factor = 1.12; image = 00135; x =  454; y = 538; confidence = 0.14; MISS
scale_factor = 1.12; image = 00135; x =  533; y = 535; confidence = 0.00; MISS
scale_factor = 1.12; image = 00135; x =  678; y = 614; confidence = 0.26; MISS
scale_factor = 1.12; image = 00135; x =  714; y = 625; confidence = 0.29; MISS
scale_factor = 1.12; image = 00135; x =  788; y = 580; confidence = 0.43; MISS
scale_factor = 1.12; image = 00135; x =  891; y = 619; confidence = 0.06; MISS
scale_factor = 1.12; image = 00135; x =  975; y = 641; confidence = 0.44; MISS
scale_factor = 1.12; image = 00135; x = 1095; y = 673; confidence = 0.57; MISS
scale_factor = 1.12; image = 00135; x = 1193; y = 614; confidence = 0.26; MISS
scale_factor = 1.12; image = 00135; x = 1274; y = 630; confidence = 0.37; MISS
scale_factor = 1.12; image = 00135; x = 1340; y = 622; confidence = 0.35; MISS
scale_factor = 1.12; image = 00135; x =   89; y = 712; confidence = 0.37; MISS
scale_factor = 1.12; image = 00135; x =  150; y = 751; confidence = 0.60; MISS
scale_factor = 1.12; image = 00135; x =  245; y = 684; confidence = 0.45; MISS
scale_factor = 1.12; image = 00135; x =  320; y = 636; confidence = 0.03; MISS
scale_factor = 1.12; image = 00135; x =  444; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00135; x =  533; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00135; x =  702; y = 716; confidence = 0.00; MISS
scale_factor = 1.12; image = 00135; x =  746; y = 704; confidence = 0.44; MISS
scale_factor = 1.12; image = 00135; x =  771; y = 687; confidence = 0.44; MISS
scale_factor = 1.12; image = 00135; x =  919; y = 728; confidence = 0.59; MISS
scale_factor = 1.12; image = 00135; x =  971; y = 724; confidence = 0.32; MISS
scale_factor = 1.12; image = 00135; x = 1073; y = 676; confidence = 0.58; MISS
scale_factor = 1.12; image = 00135; x = 1169; y = 701; confidence = 0.35; MISS
scale_factor = 1.12; image = 00135; x = 1241; y = 710; confidence = 0.43; MISS
scale_factor = 1.12; image = 00135; x = 1335; y = 703; confidence = 0.38; MISS
### Current Image = 00130; Traffic signs searched =   11; Traffic signs found =   11; Best confidence = 0.935112; Percentage found = 100.00; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00151.ppm
scale_factor = 1.12; image = 00159; x =  102; y =  77; confidence = 0.55; MISS
scale_factor = 1.12; image = 00159; x =  185; y = 104; confidence = 0.61; MISS
scale_factor = 1.12; image = 00159; x =  276; y =  58; confidence = 0.56; MISS
scale_factor = 1.12; image = 00159; x =  433; y =  73; confidence = 0.49; MISS
scale_factor = 1.12; image = 00159; x =  433; y =  72; confidence = 0.48; MISS
scale_factor = 1.12; image = 00159; x =  529; y =  83; confidence = 0.35; MISS
scale_factor = 1.12; image = 00159; x =  634; y =  95; confidence = 0.32; MISS
scale_factor = 1.12; image = 00159; x =  716; y =  91; confidence = 0.31; MISS
scale_factor = 1.12; image = 00159; x =  795; y = 137; confidence = 0.26; MISS
scale_factor = 1.12; image = 00159; x =  874; y =  77; confidence = 0.15; MISS
scale_factor = 1.12; image = 00159; x = 1004; y = 135; confidence = 0.63; MISS
scale_factor = 1.12; image = 00159; x = 1072; y = 106; confidence = 0.47; MISS
scale_factor = 1.12; image = 00159; x = 1137; y =  93; confidence = 0.61; MISS
scale_factor = 1.12; image = 00159; x = 1243; y =  53; confidence = 0.64; MISS
scale_factor = 1.12; image = 00159; x = 1339; y =  95; confidence = 0.31; MISS
scale_factor = 1.12; image = 00159; x =  123; y = 172; confidence = 0.33; MISS
scale_factor = 1.12; image = 00159; x =  175; y = 178; confidence = 0.23; MISS
scale_factor = 1.12; image = 00159; x =  263; y = 155; confidence = 0.46; MISS
scale_factor = 1.12; image = 00159; x =  360; y = 178; confidence = 0.74; MISS
scale_factor = 1.12; image = 00159; x =  449; y = 183; confidence = 0.28; MISS
scale_factor = 1.12; image = 00159; x =  517; y = 182; confidence = 0.54; MISS
scale_factor = 1.12; image = 00159; x =  609; y = 218; confidence = 0.42; MISS
scale_factor = 1.12; image = 00159; x =  761; y = 166; confidence = 0.43; MISS
scale_factor = 1.12; image = 00159; x =  768; y = 160; confidence = 0.43; MISS
scale_factor = 1.12; image = 00159; x =  907; y = 177; confidence = 0.51; MISS
scale_factor = 1.12; image = 00159; x =  984; y = 142; confidence = 0.61; MISS
scale_factor = 1.12; image = 00159; x = 1072; y = 161; confidence = 0.58; MISS
scale_factor = 1.12; image = 00159; x = 1159; y = 180; confidence = 0.04; MISS
scale_factor = 1.12; image = 00159; x = 1266; y = 159; confidence = 0.20; MISS
scale_factor = 1.12; image = 00159; x = 1338; y = 176; confidence = 0.26; MISS
scale_factor = 1.12; image = 00159; x =   46; y = 292; confidence = 0.55; MISS
scale_factor = 1.12; image = 00159; x =  196; y = 308; confidence = 0.60; MISS
scale_factor = 1.12; image = 00159; x =  254; y = 260; confidence = 0.32; MISS
scale_factor = 1.12; image = 00159; x =  357; y = 264; confidence = 0.28; MISS
scale_factor = 1.12; image = 00159; x =  420; y = 208; confidence = 0.58; MISS
scale_factor = 1.12; image = 00159; x =  538; y = 239; confidence = 0.44; MISS
scale_factor = 1.12; image = 00159; x =  633; y = 284; confidence = 0.39; MISS
scale_factor = 1.12; image = 00159; x =  715; y = 274; confidence = 0.41; MISS
scale_factor = 1.12; image = 00159; x =  791; y = 267; confidence = 0.33; MISS
scale_factor = 1.12; image = 00159; x =  892; y = 255; confidence = 0.30; MISS
scale_factor = 1.12; image = 00159; x =  931; y = 255; confidence = 0.49; MISS
scale_factor = 1.12; image = 00159; x = 1078; y = 285; confidence = 0.26; MISS
scale_factor = 1.12; image = 00159; x = 1145; y = 255; confidence = 0.14; MISS
scale_factor = 1.12; image = 00159; x = 1275; y = 267; confidence = 0.40; MISS
scale_factor = 1.12; image = 00159; x = 1330; y = 265; confidence = 0.00; MISS
scale_factor = 1.12; image = 00159; x =   67; y = 366; confidence = 0.49; MISS
scale_factor = 1.12; image = 00159; x =  169; y = 375; confidence = 0.38; MISS
scale_factor = 1.12; image = 00159; x =  257; y = 358; confidence = 0.29; MISS
scale_factor = 1.12; image = 00159; x =  348; y = 336; confidence = 0.44; MISS
scale_factor = 1.12; image = 00159; x =  459; y = 335; confidence = 0.35; MISS
scale_factor = 1.12; image = 00159; x =  514; y = 342; confidence = 0.37; MISS
scale_factor = 1.12; image = 00159; x =  563; y = 354; confidence = 0.37; MISS
scale_factor = 1.12; image = 00159; x =  724; y = 328; confidence = 0.31; MISS
scale_factor = 1.12; image = 00151; x =  813; y = 414; confidence = 0.99; HIT ***
scale_factor = 1.12; image = 00159; x =  907; y = 387; confidence = 0.39; MISS
scale_factor = 1.12; image = 00159; x =  975; y = 365; confidence = 0.37; MISS
scale_factor = 1.12; image = 00159; x = 1049; y = 371; confidence = 0.52; MISS
scale_factor = 1.12; image = 00159; x = 1172; y = 331; confidence = 0.38; MISS
scale_factor = 1.12; image = 00159; x = 1257; y = 371; confidence = 0.31; MISS
scale_factor = 1.12; image = 00159; x = 1333; y = 357; confidence = 0.42; MISS
scale_factor = 1.12; image = 00159; x =   93; y = 451; confidence = 0.29; MISS
scale_factor = 1.12; image = 00159; x =  171; y = 431; confidence = 0.39; MISS
scale_factor = 1.12; image = 00159; x =  272; y = 440; confidence = 0.34; MISS
scale_factor = 1.12; image = 00159; x =  364; y = 452; confidence = 0.40; MISS
scale_factor = 1.12; image = 00159; x =  461; y = 453; confidence = 0.45; MISS
scale_factor = 1.12; image = 00159; x =  562; y = 387; confidence = 0.08; MISS
scale_factor = 1.12; image = 00159; x =  615; y = 435; confidence = 0.31; MISS
scale_factor = 1.12; image = 00159; x =  729; y = 451; confidence = 0.50; MISS
scale_factor = 1.12; image = 00151; x =  813; y = 413; confidence = 0.98; HIT ***
scale_factor = 1.12; image = 00151; x =  814; y = 414; confidence = 0.97; HIT ***
scale_factor = 1.12; image = 00159; x =  986; y = 438; confidence = 0.39; MISS
scale_factor = 1.12; image = 00159; x = 1072; y = 449; confidence = 0.38; MISS
scale_factor = 1.12; image = 00159; x = 1151; y = 408; confidence = 0.50; MISS
scale_factor = 1.12; image = 00159; x = 1242; y = 445; confidence = 0.11; MISS
scale_factor = 1.12; image = 00159; x = 1323; y = 444; confidence = 0.02; MISS
scale_factor = 1.12; image = 00159; x =   89; y = 534; confidence = 0.25; MISS
scale_factor = 1.12; image = 00159; x =  184; y = 543; confidence = 0.47; MISS
scale_factor = 1.12; image = 00159; x =  341; y = 515; confidence = 0.70; MISS
scale_factor = 1.12; image = 00159; x =  345; y = 530; confidence = 0.56; MISS
scale_factor = 1.12; image = 00159; x =  427; y = 545; confidence = 0.40; MISS
