.wp_visual_search
# Please wait, building network...
.wp_visual_search
.wp_visual_search
.wp_visual_search
.wp_visual_search
.wp_visual_search
.wp_visual_search
Locale set to C.
Imagem Treinada = 1
image = 00002; scale_factor =  0.98; confidence =  0.87; x = 165; y = 156; jaccard =  0.92; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00181; scale_factor =  0.85; confidence =  0.87; x = 154; y = 191; jaccard =  0.90; precision =  0.963; recall =  0.963; f =  0.963, HIT
image = 00182; scale_factor =  0.85; confidence =  0.87; x = 153; y = 187; jaccard =  0.79; precision =  0.963; recall =  0.963; f =  0.963, HIT
image = 00183; scale_factor =  0.86; confidence =  0.79; x = 153; y = 179; jaccard =  0.71; precision =  0.963; recall =  0.963; f =  0.963, HIT
image = 00184; scale_factor =  0.87; confidence =  0.73; x = 156; y = 163; jaccard =  0.81; precision =  0.963; recall =  0.963; f =  0.963, HIT
image = 00185; scale_factor =  0.87; confidence =  0.84; x = 157; y = 149; jaccard =  0.85; precision =  0.963; recall =  0.963; f =  0.963, HIT
image = 00186; scale_factor =  0.86; confidence =  0.84; x = 157; y = 155; jaccard =  0.95; precision =  0.964; recall =  0.964; f =  0.964, HIT
image = 00187; scale_factor =  0.87; confidence =  0.89; x = 157; y = 164; jaccard =  0.95; precision =  0.964; recall =  0.964; f =  0.964, HIT
image = 00188; scale_factor =  0.86; confidence =  0.87; x = 157; y = 170; jaccard =  0.88; precision =  0.964; recall =  0.964; f =  0.964, HIT
image = 00189; scale_factor =  0.85; confidence =  0.87; x = 159; y = 175; jaccard =  0.82; precision =  0.964; recall =  0.964; f =  0.964, HIT
image = 00190; scale_factor =  0.86; confidence =  0.88; x = 163; y = 176; jaccard =  0.73; precision =  0.964; recall =  0.964; f =  0.964, HIT
image = 00191; scale_factor =  0.84; confidence =  0.87; x = 170; y = 163; jaccard =  0.80; precision =  0.964; recall =  0.964; f =  0.964, HIT
image = 00192; scale_factor =  0.85; confidence =  0.75; x = 172; y = 153; jaccard =  0.83; precision =  0.965; recall =  0.965; f =  0.965, HIT
image = 00193; scale_factor =  0.84; confidence =  0.58; x = 172; y = 139; jaccard =  0.86; precision =  0.965; recall =  0.965; f =  0.965, HIT
image = 00194; scale_factor =  0.85; confidence =  0.62; x = 176; y = 120; jaccard =  0.90; precision =  0.965; recall =  0.965; f =  0.965, HIT
image = 00195; scale_factor =  0.85; confidence =  0.80; x = 176; y = 107; jaccard =  0.90; precision =  0.965; recall =  0.965; f =  0.965, HIT
image = 00196; scale_factor =  0.84; confidence =  0.71; x = 177; y = 115; jaccard =  0.95; precision =  0.965; recall =  0.965; f =  0.965, HIT
image = 00197; scale_factor =  0.82; confidence =  0.81; x = 174; y = 128; jaccard =  0.95; precision =  0.966; recall =  0.966; f =  0.966, HIT
image = 00198; scale_factor =  0.82; confidence =  0.84; x = 173; y = 134; jaccard =  0.93; precision =  0.966; recall =  0.966; f =  0.966, HIT
image = 00199; scale_factor =  0.82; confidence =  0.84; x = 173; y = 135; jaccard =  0.95; precision =  0.966; recall =  0.966; f =  0.966, HIT
image = 00200; scale_factor =  0.82; confidence =  0.82; x = 173; y = 134; jaccard =  0.86; precision =  0.966; recall =  0.966; f =  0.966, HIT
image = 00201; scale_factor =  0.82; confidence =  0.83; x = 173; y = 122; jaccard =  0.90; precision =  0.966; recall =  0.966; f =  0.966, HIT
image = 00202; scale_factor =  0.82; confidence =  0.72; x = 173; y = 109; jaccard =  0.81; precision =  0.966; recall =  0.966; f =  0.966, HIT
image = 00203; scale_factor =  0.82; confidence =  0.63; x = 175; y = 95; jaccard =  0.88; precision =  0.967; recall =  0.967; f =  0.967, HIT
image = 00204; scale_factor =  0.82; confidence =  0.57; x = 178; y = 77; jaccard =  0.82; precision =  0.967; recall =  0.967; f =  0.967, HIT
image = 00205; scale_factor =  0.83; confidence =  0.78; x = 178; y = 61; jaccard =  0.88; precision =  0.967; recall =  0.967; f =  0.967, HIT
image = 00206; scale_factor =  0.84; confidence =  0.71; x = 180; y = 65; jaccard =  0.71; precision =  0.967; recall =  0.967; f =  0.967, HIT
image = 00207; scale_factor =  0.83; confidence =  0.70; x = 178; y = 82; jaccard =  0.83; precision =  0.967; recall =  0.967; f =  0.967, HIT
image = 00208; scale_factor =  0.82; confidence =  0.78; x = 177; y = 94; jaccard =  0.79; precision =  0.967; recall =  0.967; f =  0.967, HIT
image = 00209; scale_factor =  0.83; confidence =  0.86; x = 176; y = 106; jaccard =  0.76; precision =  0.967; recall =  0.967; f =  0.967, HIT
image = 00210; scale_factor =  0.83; confidence =  0.87; x = 176; y = 114; jaccard =  0.68; precision =  0.968; recall =  0.968; f =  0.968, HIT
image = 00211; scale_factor =  0.84; confidence =  0.86; x = 175; y = 126; jaccard =  0.70; precision =  0.968; recall =  0.968; f =  0.968, HIT
image = 00212; scale_factor =  0.84; confidence =  0.84; x = 175; y = 126; jaccard =  0.75; precision =  0.968; recall =  0.968; f =  0.968, HIT
image = 00213; scale_factor =  0.84; confidence =  0.81; x = 175; y = 122; jaccard =  0.73; precision =  0.968; recall =  0.968; f =  0.968, HIT
image = 00214; scale_factor =  0.83; confidence =  0.76; x = 176; y = 113; jaccard =  0.79; precision =  0.968; recall =  0.968; f =  0.968, HIT
image = 00215; scale_factor =  0.83; confidence =  0.82; x = 177; y = 101; jaccard =  0.71; precision =  0.968; recall =  0.968; f =  0.968, HIT
image = 00216; scale_factor =  0.85; confidence =  0.50; x = 179; y = 119; jaccard =  0.76; precision =  0.968; recall =  0.968; f =  0.968, HIT
image = 00217; scale_factor =  0.83; confidence =  0.55; x = 176; y = 150; jaccard =  0.86; precision =  0.969; recall =  0.969; f =  0.969, HIT
image = 00218; scale_factor =  0.84; confidence =  0.77; x = 177; y = 166; jaccard =  0.80; precision =  0.969; recall =  0.969; f =  0.969, HIT
image = 00219; scale_factor =  0.93; confidence =  0.91; x = 176; y = 179; jaccard =  0.92; precision =  0.969; recall =  0.969; f =  0.969, HIT
image = 00220; scale_factor =  0.93; confidence =  0.93; x = 176; y = 185; jaccard =  0.92; precision =  0.969; recall =  0.969; f =  0.969, HIT
image = 00221; scale_factor =  0.93; confidence =  0.93; x = 174; y = 185; jaccard =  0.82; precision =  0.969; recall =  0.969; f =  0.969, HIT
image = 00222; scale_factor =  0.94; confidence =  0.84; x = 173; y = 179; jaccard =  0.71; precision =  0.969; recall =  0.969; f =  0.969, HIT
image = 00223; scale_factor =  0.95; confidence =  0.69; x = 171; y = 166; jaccard =  0.78; precision =  0.969; recall =  0.969; f =  0.969, HIT
image = 00224; scale_factor =  0.96; confidence =  0.55; x = 173; y = 147; jaccard =  0.72; precision =  0.970; recall =  0.970; f =  0.970, HIT
image = 00225; scale_factor =  0.95; confidence =  0.90; x = 173; y = 133; jaccard =  0.79; precision =  0.970; recall =  0.970; f =  0.970, HIT
image = 00226; scale_factor =  0.94; confidence =  0.58; x = 169; y = 146; jaccard =  0.70; precision =  0.970; recall =  0.970; f =  0.970, HIT
image = 00227; scale_factor =  0.90; confidence =  0.84; x = 163; y = 159; jaccard =  0.90; precision =  0.970; recall =  0.970; f =  0.970, HIT
image = 00228; scale_factor =  0.89; confidence =  0.91; x = 161; y = 167; jaccard =  0.85; precision =  0.970; recall =  0.970; f =  0.970, HIT
image = 00229; scale_factor =  0.89; confidence =  0.93; x = 158; y = 172; jaccard =  0.95; precision =  0.970; recall =  0.970; f =  0.970, HIT
image = 00230; scale_factor =  0.89; confidence =  0.93; x = 155; y = 174; jaccard =  0.92; precision =  0.970; recall =  0.970; f =  0.970, HIT
image = 00231; scale_factor =  0.89; confidence =  0.85; x = 152; y = 169; jaccard =  0.83; precision =  0.970; recall =  0.970; f =  0.970, HIT
image = 00232; scale_factor =  0.88; confidence =  0.76; x = 150; y = 159; jaccard =  0.87; precision =  0.971; recall =  0.971; f =  0.971, HIT
image = 00233; scale_factor =  0.89; confidence =  0.69; x = 152; y = 144; jaccard =  0.88; precision =  0.971; recall =  0.971; f =  0.971, HIT
image = 00234; scale_factor =  0.87; confidence =  0.86; x = 151; y = 133; jaccard =  0.85; precision =  0.971; recall =  0.971; f =  0.971, HIT
image = 00235; scale_factor =  0.87; confidence =  0.83; x = 154; y = 133; jaccard =  0.88; precision =  0.971; recall =  0.971; f =  0.971, HIT
image = 00236; scale_factor =  0.89; confidence =  0.87; x = 159; y = 161; jaccard =  0.90; precision =  0.971; recall =  0.971; f =  0.971, HIT
image = 00237; scale_factor =  0.88; confidence =  0.89; x = 160; y = 169; jaccard =  0.95; precision =  0.971; recall =  0.971; f =  0.971, HIT
image = 00238; scale_factor =  0.89; confidence =  0.90; x = 162; y = 174; jaccard =  0.90; precision =  0.971; recall =  0.971; f =  0.971, HIT
image = 00239; scale_factor =  0.90; confidence =  0.91; x = 167; y = 178; jaccard =  0.87; precision =  0.971; recall =  0.971; f =  0.971, HIT
image = 00240; scale_factor =  0.91; confidence =  0.90; x = 173; y = 178; jaccard =  0.92; precision =  0.972; recall =  0.972; f =  0.972, HIT
image = 00241; scale_factor =  0.93; confidence =  0.86; x = 177; y = 168; jaccard =  0.89; precision =  0.972; recall =  0.972; f =  0.972, HIT
image = 00242; scale_factor =  0.94; confidence =  0.68; x = 181; y = 158; jaccard =  0.84; precision =  0.972; recall =  0.972; f =  0.972, HIT
image = 00243; scale_factor =  0.94; confidence =  0.81; x = 189; y = 145; jaccard =  0.91; precision =  0.972; recall =  0.972; f =  0.972, HIT
image = 00244; scale_factor =  0.92; confidence =  0.87; x = 195; y = 140; jaccard =  0.78; precision =  0.972; recall =  0.972; f =  0.972, HIT
image = 00245; scale_factor =  0.93; confidence =  0.58; x = 198; y = 149; jaccard =  0.72; precision =  0.972; recall =  0.972; f =  0.972, HIT
image = 00246; scale_factor =  0.89; confidence =  0.84; x = 199; y = 176; jaccard =  0.74; precision =  0.972; recall =  0.972; f =  0.972, HIT
image = 00247; scale_factor =  0.89; confidence =  0.88; x = 199; y = 182; jaccard =  0.81; precision =  0.972; recall =  0.972; f =  0.972, HIT
image = 00248; scale_factor =  0.89; confidence =  0.88; x = 199; y = 185; jaccard =  0.85; precision =  0.972; recall =  0.972; f =  0.972, HIT
image = 00249; scale_factor =  0.90; confidence =  0.88; x = 200; y = 186; jaccard =  0.87; precision =  0.973; recall =  0.973; f =  0.973, HIT
image = 00250; scale_factor =  0.90; confidence =  0.87; x = 202; y = 186; jaccard =  0.76; precision =  0.973; recall =  0.973; f =  0.973, HIT
image = 00251; scale_factor =  0.81; confidence =  0.68; x = 206; y = 172; jaccard =  0.55; precision =  0.973; recall =  0.973; f =  0.973, HIT
image = 00252; scale_factor =  0.82; confidence =  0.59; x = 209; y = 160; jaccard =  0.56; precision =  0.973; recall =  0.973; f =  0.973, HIT
image = 00253; scale_factor =  0.82; confidence =  0.69; x = 213; y = 149; jaccard =  0.88; precision =  0.973; recall =  0.973; f =  0.973, HIT
image = 00254; scale_factor =  0.86; confidence =  0.84; x = 216; y = 144; jaccard =  0.92; precision =  0.973; recall =  0.973; f =  0.973, HIT
image = 00255; scale_factor =  0.86; confidence =  0.58; x = 220; y = 149; jaccard =  0.64; precision =  0.973; recall =  0.973; f =  0.973, HIT
image = 00256; scale_factor =  0.85; confidence =  0.82; x = 216; y = 177; jaccard =  0.73; precision =  0.973; recall =  0.973; f =  0.973, HIT
image = 00257; scale_factor =  0.84; confidence =  0.83; x = 216; y = 183; jaccard =  0.83; precision =  0.973; recall =  0.973; f =  0.973, HIT
image = 00258; scale_factor =  0.84; confidence =  0.81; x = 213; y = 185; jaccard =  0.85; precision =  0.973; recall =  0.973; f =  0.973, HIT
image = 00259; scale_factor =  0.83; confidence =  0.83; x = 207; y = 186; jaccard =  0.90; precision =  0.974; recall =  0.974; f =  0.974, HIT
image = 00260; scale_factor =  0.83; confidence =  0.84; x = 201; y = 185; jaccard =  0.95; precision =  0.974; recall =  0.974; f =  0.974, HIT
image = 00261; scale_factor =  0.83; confidence =  0.72; x = 194; y = 169; jaccard =  0.97; precision =  0.974; recall =  0.974; f =  0.974, HIT
image = 00262; scale_factor =  0.83; confidence =  0.58; x = 192; y = 156; jaccard =  0.97; precision =  0.974; recall =  0.974; f =  0.974, HIT
image = 00263; scale_factor =  0.85; confidence =  0.81; x = 190; y = 146; jaccard =  0.88; precision =  0.974; recall =  0.974; f =  0.974, HIT
image = 00264; scale_factor =  0.85; confidence =  0.70; x = 187; y = 145; jaccard =  0.93; precision =  0.974; recall =  0.974; f =  0.974, HIT
image = 00265; scale_factor =  0.86; confidence =  0.61; x = 183; y = 153; jaccard =  0.69; precision =  0.974; recall =  0.974; f =  0.974, HIT
image = 00266; scale_factor =  0.85; confidence =  0.79; x = 178; y = 180; jaccard =  0.92; precision =  0.974; recall =  0.974; f =  0.974, HIT
image = 00267; scale_factor =  0.87; confidence =  0.84; x = 177; y = 184; jaccard =  0.89; precision =  0.974; recall =  0.974; f =  0.974, HIT
image = 00268; scale_factor =  0.87; confidence =  0.84; x = 175; y = 185; jaccard =  0.92; precision =  0.974; recall =  0.974; f =  0.974, HIT
image = 00269; scale_factor =  0.87; confidence =  0.83; x = 174; y = 185; jaccard =  0.80; precision =  0.975; recall =  0.975; f =  0.975, HIT
image = 00270; scale_factor =  0.87; confidence =  0.84; x = 172; y = 180; jaccard =  0.78; precision =  0.975; recall =  0.975; f =  0.975, HIT
image = 00271; scale_factor =  0.87; confidence =  0.68; x = 169; y = 156; jaccard =  0.92; precision =  0.975; recall =  0.975; f =  0.975, HIT
image = 00272; scale_factor =  0.87; confidence =  0.69; x = 168; y = 143; jaccard =  0.85; precision =  0.975; recall =  0.975; f =  0.975, HIT
image = 00273; scale_factor =  0.86; confidence =  0.85; x = 166; y = 133; jaccard =  0.81; precision =  0.975; recall =  0.975; f =  0.975, HIT
image = 00274; scale_factor =  0.87; confidence =  0.72; x = 164; y = 136; jaccard =  0.75; precision =  0.975; recall =  0.975; f =  0.975, HIT
image = 00275; scale_factor =  0.87; confidence =  0.63; x = 153; y = 145; jaccard =  0.70; precision =  0.975; recall =  0.975; f =  0.975, HIT
image = 00276; scale_factor =  0.85; confidence =  0.84; x = 134; y = 163; jaccard =  0.92; precision =  0.975; recall =  0.975; f =  0.975, HIT
image = 00277; scale_factor =  0.85; confidence =  0.84; x = 132; y = 167; jaccard =  0.90; precision =  0.975; recall =  0.975; f =  0.975, HIT
image = 00278; scale_factor =  0.86; confidence =  0.85; x = 131; y = 168; jaccard =  0.92; precision =  0.975; recall =  0.975; f =  0.975, HIT
image = 00279; scale_factor =  0.86; confidence =  0.86; x = 130; y = 168; jaccard =  0.92; precision =  0.975; recall =  0.975; f =  0.975, HIT
image = 00280; scale_factor =  0.86; confidence =  0.84; x = 128; y = 164; jaccard =  0.90; precision =  0.976; recall =  0.976; f =  0.976, HIT
image = 00281; scale_factor =  0.86; confidence =  0.70; x = 133; y = 145; jaccard =  0.93; precision =  0.976; recall =  0.976; f =  0.976, HIT
image = 00282; scale_factor =  0.87; confidence =  0.72; x = 138; y = 133; jaccard =  0.92; precision =  0.976; recall =  0.976; f =  0.976, HIT
image = 00283; scale_factor =  0.87; confidence =  0.85; x = 141; y = 127; jaccard =  0.83; precision =  0.976; recall =  0.976; f =  0.976, HIT
image = 00284; scale_factor =  0.89; confidence =  0.45; x = 153; y = 133; jaccard =  0.80; precision =  0.976; recall =  0.976; f =  0.976, HIT
Imagem Treinada = 279
image = 00285; scale_factor =  0.86; confidence =  0.84; x = -1; y = -1; jaccard =  0.00; precision =  0.973; recall =  0.973; f =  0.973, MISS ***
image = 00285; scale_factor =  0.90; confidence =  0.69; x = 155; y = 150; jaccard =  0.95; precision =  0.973; recall =  0.973; f =  0.973, HIT
image = 00286; scale_factor =  0.87; confidence =  0.89; x = 163; y = 179; jaccard =  0.85; precision =  0.973; recall =  0.973; f =  0.973, HIT
image = 00287; scale_factor =  0.87; confidence =  0.88; x = 166; y = 186; jaccard =  0.95; precision =  0.973; recall =  0.973; f =  0.973, HIT
image = 00288; scale_factor =  0.87; confidence =  0.87; x = 171; y = 190; jaccard =  0.92; precision =  0.973; recall =  0.973; f =  0.973, HIT
image = 00289; scale_factor =  0.87; confidence =  0.89; x = 174; y = 191; jaccard =  0.90; precision =  0.973; recall =  0.973; f =  0.973, HIT
image = 00290; scale_factor =  0.88; confidence =  0.87; x = 178; y = 188; jaccard =  0.82; precision =  0.973; recall =  0.973; f =  0.973, HIT
image = 00291; scale_factor =  0.89; confidence =  0.77; x = 182; y = 165; jaccard =  0.94; precision =  0.973; recall =  0.973; f =  0.973, HIT
image = 00292; scale_factor =  0.88; confidence =  0.84; x = 184; y = 154; jaccard =  0.74; precision =  0.973; recall =  0.973; f =  0.973, HIT
image = 00293; scale_factor =  0.88; confidence =  0.88; x = 182; y = 146; jaccard =  0.72; precision =  0.973; recall =  0.973; f =  0.973, HIT
image = 00294; scale_factor =  0.89; confidence =  0.73; x = 183; y = 149; jaccard =  0.67; precision =  0.973; recall =  0.973; f =  0.973, HIT
image = 00295; scale_factor =  0.88; confidence =  0.62; x = 180; y = 162; jaccard =  0.66; precision =  0.974; recall =  0.974; f =  0.974, HIT
image = 00296; scale_factor =  0.91; confidence =  0.88; x = 179; y = 187; jaccard =  0.89; precision =  0.974; recall =  0.974; f =  0.974, HIT
image = 00297; scale_factor =  0.91; confidence =  0.89; x = 178; y = 190; jaccard =  0.89; precision =  0.974; recall =  0.974; f =  0.974, HIT
image = 00298; scale_factor =  0.92; confidence =  0.90; x = 177; y = 190; jaccard =  0.89; precision =  0.974; recall =  0.974; f =  0.974, HIT
image = 00299; scale_factor =  0.92; confidence =  0.92; x = 177; y = 189; jaccard =  0.78; precision =  0.974; recall =  0.974; f =  0.974, HIT
image = 00300; scale_factor =  0.94; confidence =  0.90; x = 174; y = 184; jaccard =  0.73; precision =  0.974; recall =  0.974; f =  0.974, HIT
image = 00301; scale_factor =  0.92; confidence =  0.71; x = 166; y = 161; jaccard =  0.73; precision =  0.974; recall =  0.974; f =  0.974, HIT
image = 00302; scale_factor =  0.91; confidence =  0.84; x = 164; y = 147; jaccard =  0.80; precision =  0.974; recall =  0.974; f =  0.974, HIT
image = 00303; scale_factor =  0.95; confidence =  0.93; x = 162; y = 142; jaccard =  0.89; precision =  0.974; recall =  0.974; f =  0.974, HIT
image = 00304; scale_factor =  0.98; confidence =  0.67; x = 162; y = 146; jaccard =  0.79; precision =  0.974; recall =  0.974; f =  0.974, HIT
image = 00305; scale_factor =  0.98; confidence =  0.85; x = 158; y = 159; jaccard =  0.74; precision =  0.974; recall =  0.974; f =  0.974, HIT
image = 00306; scale_factor =  0.99; confidence =  0.96; x = 159; y = 168; jaccard =  0.81; precision =  0.974; recall =  0.974; f =  0.974, HIT
image = 00307; scale_factor =  1.00; confidence =  0.97; x = 159; y = 167; jaccard =  0.94; precision =  0.975; recall =  0.975; f =  0.975, HIT
image = 00308; scale_factor =  1.01; confidence =  0.96; x = 161; y = 160; jaccard =  0.94; precision =  0.975; recall =  0.975; f =  0.975, HIT
image = 00309; scale_factor =  1.02; confidence =  0.94; x = 163; y = 154; jaccard =  0.86; precision =  0.975; recall =  0.975; f =  0.975, HIT
image = 00310; scale_factor =  1.02; confidence =  0.81; x = 163; y = 146; jaccard =  0.83; precision =  0.975; recall =  0.975; f =  0.975, HIT
image = 00311; scale_factor =  1.01; confidence =  0.58; x = 165; y = 121; jaccard =  0.78; precision =  0.975; recall =  0.975; f =  0.975, HIT
image = 00312; scale_factor =  1.01; confidence =  0.83; x = 163; y = 109; jaccard =  0.91; precision =  0.975; recall =  0.975; f =  0.975, HIT
image = 00313; scale_factor =  1.00; confidence =  0.89; x = 162; y = 100; jaccard =  0.88; precision =  0.975; recall =  0.975; f =  0.975, HIT
true_positive;false_positive;false_negative;PRECISION;RECALL;F
 305.000;  0.000;  0.000; 1.000;  1.000; 1.000
total_frames, valid_frames; invalid_frames
305.000000; 305.000000; 0.000000
