# Please wait, building network...
# 0.075 # 0.124 # 0.075 
# 0.124 # 0.204 # 0.124 
# 0.075 # 0.124 # 0.075 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.002 # 0.010 # 0.029 # 0.057 # 0.071 # 0.057 # 0.029 # 0.010 # 0.002 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
Locale set to C.
Number of images with traffic signs within criterion = 24
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00006.ppm
''Image file name: /home/alberto/TIAGO/haar_competition/test_full/00006.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00023.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00094.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00113.ppm
delta = 201
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00114.ppm
scale_factor = 0.50; image = 00121; x =   94; y = 270; confidence = 0.71; MISS
scale_factor = 0.50; image = 00398; x =  982; y = 618; confidence = 0.48; MISS
scale_factor = 0.50; image = 00398; x = 1183; y = 562; confidence = 0.35; MISS
### Current Image = 00392; Traffic signs searched =   17; Traffic signs found =   15; Best confidence = 0.813266; Percentage found = 88.24; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00404.ppm
scale_factor = 0.50; image = 00408; x =  234; y = 366; confidence = 0.70; MISS
scale_factor = 0.50; image = 00408; x =  401; y = 188; confidence = 0.39; MISS
scale_factor = 0.50; image = 00408; x =  630; y = 212; confidence = 0.38; MISS
scale_factor = 0.50; image = 00408; x =  773; y = 200; confidence = 0.33; MISS
scale_factor = 0.50; image = 00408; x =  974; y = 178; confidence = 0.47; MISS
scale_factor = 0.50; image = 00408; x = 1281; y = 212; confidence = 0.56; MISS
scale_factor = 0.50; image = 00408; x =  232; y = 369; confidence = 0.70; MISS
scale_factor = 0.50; image = 00404; x =  369; y = 355; confidence = 0.62; HIT ***
scale_factor = 0.50; image = 00408; x =  452; y = 401; confidence = 0.17; MISS
scale_factor = 0.50; image = 00408; x =  831; y = 337; confidence = 0.00; MISS
scale_factor = 0.50; image = 00408; x = 1156; y = 465; confidence = 0.49; MISS
scale_factor = 0.50; image = 00408; x = 1147; y = 461; confidence = 0.58; MISS
scale_factor = 0.50; image = 00408; x =  212; y = 610; confidence = 0.19; MISS
scale_factor = 0.50; image = 00408; x =  349; y = 656; confidence = 0.22; MISS
scale_factor = 0.50; image = 00408; x =  744; y = 676; confidence = 0.73; MISS
scale_factor = 0.50; image = 00408; x =  743; y = 682; confidence = 0.73; MISS
scale_factor = 0.50; image = 00408; x = 1038; y = 622; confidence = 0.51; MISS
scale_factor = 0.50; image = 00408; x = 1205; y = 602; confidence = 0.06; MISS
### Current Image = 00404; Traffic signs searched =   18; Traffic signs found =   16; Best confidence = 0.616438; Percentage found = 88.89; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00475.ppm
scale_factor = 0.50; image = 00482; x =  148; y = 140; confidence = 0.44; MISS
scale_factor = 0.50; image = 00482; x =  405; y = 190; confidence = 0.14; MISS
scale_factor = 0.50; image = 00482; x =  572; y = 188; confidence = 0.52; MISS
scale_factor = 0.50; image = 00482; x =  735; y = 198; confidence = 0.40; MISS
scale_factor = 0.50; image = 00482; x = 1072; y = 178; confidence = 0.74; MISS
scale_factor = 0.50; image = 00475; x = 1291; y = 284; confidence = 0.90; HIT ***
scale_factor = 0.50; image = 00482; x =  208; y = 405; confidence = 0.23; MISS
scale_factor = 0.50; image = 00482; x =  377; y = 367; confidence = 0.25; MISS
scale_factor = 0.50; image = 00482; x =  612; y = 473; confidence = 0.62; MISS
scale_factor = 0.50; image = 00482; x =  689; y = 507; confidence = 0.17; MISS
scale_factor = 0.50; image = 00482; x = 1066; y = 433; confidence = 0.38; MISS
scale_factor = 0.50; image = 00475; x = 1289; y = 289; confidence = 0.97; HIT ***
scale_factor = 0.50; image = 00482; x =  208; y = 602; confidence = 0.24; MISS
scale_factor = 0.50; image = 00482; x =  339; y = 626; confidence = 0.25; MISS
scale_factor = 0.50; image = 00482; x =  566; y = 626; confidence = 0.60; MISS
scale_factor = 0.50; image = 00482; x =  705; y = 634; confidence = 0.54; MISS
scale_factor = 0.50; image = 00482; x = 1018; y = 606; confidence = 0.15; MISS
scale_factor = 0.50; image = 00482; x = 1183; y = 602; confidence = 0.39; MISS
### Current Image = 00475; Traffic signs searched =   19; Traffic signs found =   17; Best confidence = 0.966114; Percentage found = 89.47; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00485.ppm
scale_factor = 0.50; image = 00485; x =  244; y = 374; confidence = 0.99; HIT ***
scale_factor = 0.50; image = 00494; x =  351; y = 154; confidence = 0.48; MISS
scale_factor = 0.50; image = 00494; x =  644; y = 152; confidence = 0.50; MISS
scale_factor = 0.50; image = 00494; x =  791; y = 192; confidence = 0.43; MISS
scale_factor = 0.50; image = 00494; x = 1054; y = 162; confidence = 0.57; MISS
scale_factor = 0.50; image = 00494; x = 1251; y =  98; confidence = 0.76; MISS
scale_factor = 0.50; image = 00485; x =  240; y = 387; confidence = 0.97; HIT ***
scale_factor = 0.50; image = 00485; x =  243; y = 383; confidence = 0.98; HIT ***
scale_factor = 0.50; image = 00494; x =  672; y = 371; confidence = 0.35; MISS
scale_factor = 0.50; image = 00494; x =  823; y = 437; confidence = 0.40; MISS
scale_factor = 0.50; image = 00494; x = 1000; y = 443; confidence = 0.35; MISS
scale_factor = 0.50; image = 00494; x = 1211; y = 463; confidence = 0.34; MISS
scale_factor = 0.50; image = 00494; x =  200; y = 602; confidence = 0.25; MISS
scale_factor = 0.50; image = 00494; x =  393; y = 626; confidence = 0.34; MISS
scale_factor = 0.50; image = 00494; x =  586; y = 614; confidence = 0.27; MISS
scale_factor = 0.50; image = 00494; x =  823; y = 432; confidence = 0.23; MISS
scale_factor = 0.50; image = 00494; x =  994; y = 614; confidence = 0.27; MISS
scale_factor = 0.50; image = 00494; x = 1209; y = 610; confidence = 0.08; MISS
### Current Image = 00485; Traffic signs searched =   20; Traffic signs found =   18; Best confidence = 0.987022; Percentage found = 90.00; HIT
